,City,Cloudiness,Nation,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,numan,81,NG,1618846415,13,9.4667,12.0333,107.26,4.09
1,mar del plata,40,AR,1618846415,72,43.4002,-4.0094,60.01,8.05
2,morehead,1,PG,1618846351,67,37.2711,-87.1764,57.2,3.44
3,vanimo,100,PG,1618846415,87,-2.6741,141.3028,75.43,3.65
4,pevek,28,RU,1618846304,94,69.7008,170.3133,1.65,6.11
5,punta arenas,100,CL,1618846313,79,8.9897,125.34,77.41,3.38
6,bredasdorp,100,ZA,1618846307,67,-34.5322,20.0403,62.6,16.11
7,hilo,40,US,1618846309,73,19.7297,-155.09,71.6,5.75
8,pierre,90,US,1618846214,51,44.3683,-100.351,35.01,16.11
9,tomatlan,69,MX,1618846416,37,19.9333,-105.25,82.85,2.84
10,ushuaia,90,AR,1618846008,76,-54.8,-68.3,46.4,13.8
11,chokurdakh,98,RU,1618846387,85,70.6333,147.9167,10.36,6.91
12,tadine,85,NC,1618846417,87,-21.55,167.8833,77.32,6.06
13,atuona,31,PF,1618846316,80,-9.8,-139.0333,79.38,18.43
14,bluff,43,NZ,1618846317,84,-46.6,168.3333,48.0,13.87
15,hamilton,1,BM,1618846300,51,39.1834,-84.5333,63.0,5.75
16,omsukchan,100,RU,1618846417,98,62.5333,155.8,16.68,5.03
17,mecca,31,SA,1618846418,30,21.4267,39.8261,91.47,12.41
18,suntar,13,RU,1618846418,94,62.1444,117.6319,9.73,4.38
19,avarua,75,CK,1618846311,73,-21.2078,-159.775,78.8,5.75
20,rikitea,0,PF,1618846106,75,-23.1203,-134.9692,77.25,7.63
21,codrington,44,AG,1618846386,82,-38.2667,141.9667,55.58,13.89
22,flin flon,90,CA,1618846419,67,48.4982,6.6557,57.2,10.36
23,puerto carreno,20,CO,1618846419,64,36.5939,-6.233,75.2,16.11
24,upernavik,78,GL,1618846419,67,72.7868,-56.1549,11.35,5.64
25,severobaykalsk,100,RU,1618846420,93,55.65,109.3167,24.91,3.42
26,vaini,20,TO,1618846389,94,-21.2,-175.2,75.2,3.44
27,doha,0,KW,1618846264,16,25.2867,51.5333,95.0,10.36
28,sao joao da barra,35,BR,1618846420,17,20.5113,76.2129,89.65,8.03
29,port elizabeth,100,ZA,1618846312,77,-7.0349,29.7638,74.75,3.31
30,nikolskoye,0,RU,1618846358,28,59.7035,30.7861,52.0,11.18
31,busselton,98,AU,1618846285,97,-33.65,115.3333,57.0,9.46
32,georgetown,40,SH,1618846108,83,5.4112,100.3354,82.0,9.22
33,narsaq,40,GL,1618846383,33,60.9167,-46.05,39.2,3.44
